Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,193,468,661,Panlon(ST),MMR015021
 Rural,46,478,524,Panlon(ST),MMR015021
 Total,239,946,1185,Panlon(ST),MMR015021
