Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,645,9470,10115,Bogale,MMR017024
 Rural,2750,63122,65872,Bogale,MMR017024
 Total,3395,72592,75987,Bogale,MMR017024
