Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,5570,15065,20635,Sangyoung,MMR013039
 Total,5570,15065,20635,Sangyoung,MMR013039
