Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,100,2575,2675,Ngwehsaung(ST),MMR017001
 Rural,142,6653,6795,Ngwehsaung(ST),MMR017001
 Total,242,9228,9470,Ngwehsaung(ST),MMR017001
