Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,331,3713,4044,Bilin,MMR011010
 Rural,899,34288,35187,Bilin,MMR011010
 Total,1230,38001,39231,Bilin,MMR011010
