Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,3958,37969,41927,Mahaaungmye,MMR010003
 Total,3958,37969,41927,Mahaaungmye,MMR010003
