Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,557,4126,4683,Kukai,MMR015011
 Rural,640,13708,14348,Kukai,MMR015011
 Total,1197,17834,19031,Kukai,MMR015011
