Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,368,2334,2702,Patheingyi,MMR010007
 Rural,1114,49174,50288,Patheingyi,MMR010007
 Total,1482,51508,52990,Patheingyi,MMR010007
