Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,236,1544,1780,Singaing,MMR010014
 Rural,554,31245,31799,Singaing,MMR010014
 Total,790,32789,33579,Singaing,MMR010014
