Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,693,4618,5311,Madaya,MMR010009
 Rural,1474,51860,53334,Madaya,MMR010009
 Total,2167,56478,58645,Madaya,MMR010009
