Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,10,969,979,Naungtayar(ST),MMR014009
 Rural,241,15359,15600,Naungtayar(ST),MMR014009
 Total,251,16328,16579,Naungtayar(ST),MMR014009
