Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,329,2612,2941,Laukine,MMR015022
 Rural,1583,9707,11290,Laukine,MMR015022
 Total,1912,12319,14231,Laukine,MMR015022
