Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,2159,29782,31941,Pyin Oo Lwin,MMR010008
 Rural,598,20843,21441,Pyin Oo Lwin,MMR010008
 Total,2757,50625,53382,Pyin Oo Lwin,MMR010008
