Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,392,2958,3350,Thandwe,MMR012015
 Rural,831,26894,27725,Thandwe,MMR012015
 Total,1223,29852,31075,Thandwe,MMR012015
