Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,10,221,231,Mineyu(ST),MMR016011
 Rural,789,9847,10636,Mineyu(ST),MMR016011
 Total,799,10068,10867,Mineyu(ST),MMR016011
