Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,3,82,85,Mawhtike(ST),MMR015023
 Rural,79,4039,4118,Mawhtike(ST),MMR015023
 Total,82,4121,4203,Mawhtike(ST),MMR015023
