Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,124,654,778,Khawzar,MMR011006
 Rural,131,3909,4040,Khawzar,MMR011006
 Total,255,4563,4818,Khawzar,MMR011006
