Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,315,3251,3566,Daydaye,MMR017026
 Rural,2294,42750,45044,Daydaye,MMR017026
 Total,2609,46001,48610,Daydaye,MMR017026
