Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,507,5606,6113,Ye,MMR011006
 Rural,659,23219,23878,Ye,MMR011006
 Total,1166,28825,29991,Ye,MMR011006
