Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,261,3117,3378,Hopan,MMR015021
 Rural,559,6094,6653,Hopan,MMR015021
 Total,820,9211,10031,Hopan,MMR015021
