Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,945,9109,10054,Phyapon,MMR017023
 Rural,1556,30020,31576,Phyapon,MMR017023
 Total,2501,39129,41630,Phyapon,MMR017023
