Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,25,130,155,Naphang,MMR015006
 Rural,670,15649,16319,Naphang,MMR015006
 Total,695,15779,16474,Naphang,MMR015006
