Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,6475,50173,56648,Taunggyi,MMR014001
 Rural,261,25695,25956,Taunggyi,MMR014001
 Total,6736,75868,82604,Taunggyi,MMR014001
