Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,1930,11404,13334,MuSe,MMR015009
 Rural,1170,7710,8880,MuSe,MMR015009
 Total,3100,19114,22214,MuSe,MMR015009
