Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,48,2418,2466,Ponnagyun,MMR012002
 Rural,473,22396,22869,Ponnagyun,MMR012002
 Total,521,24814,25335,Ponnagyun,MMR012002
