Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,15,1495,1510,Yethedaung,MMR012008
 Rural,979,21852,22831,Yethedaung,MMR012008
 Total,994,23347,24341,Yethedaung,MMR012008
