Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,9,770,779,Manton,MMR015019
 Rural,53,6851,6904,Manton,MMR015019
 Total,62,7621,7683,Manton,MMR015019
