Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,3195,61561,64756,North Okkalapa,MMR013012
 Total,3195,61561,64756,North Okkalapa,MMR013012
