Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,484,2003,2487,Tamoenye(ST),MMR015011
 Rural,615,9947,10562,Tamoenye(ST),MMR015011
 Total,1099,11950,13049,Tamoenye(ST),MMR015011
