Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,1918,56593,58511,Shwepyitha,MMR013007
 Rural,239,15025,15264,Shwepyitha,MMR013007
 Total,2157,71618,73775,Shwepyitha,MMR013007
