Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,14,1141,1155,Ywarngan,MMR014007
 Rural,205,16988,17193,Ywarngan,MMR014007
 Total,219,18129,18348,Ywarngan,MMR014007
