Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,296,4928,5224,Panglong(ST),MMR014011
 Rural,59,9233,9292,Panglong(ST),MMR014011
 Total,355,14161,14516,Panglong(ST),MMR014011
