Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,238,3019,3257,Namtu,MMR015015
 Rural,172,8212,8384,Namtu,MMR015015
 Total,410,11231,11641,Namtu,MMR015015
