Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,40,712,752,Minenaung(ST),MMR014015
 Rural,115,4944,5059,Minenaung(ST),MMR014015
 Total,155,5656,5811,Minenaung(ST),MMR014015
