Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,297,2355,2652,Tada U,MMR010016
 Rural,501,29474,29975,Tada U,MMR010016
 Total,798,31829,32627,Tada U,MMR010016
