Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,35,873,908,Dekkhinathiri,MMR018004
 Rural,99,5990,6089,Dekkhinathiri,MMR018004
 Total,134,6863,6997,Dekkhinathiri,MMR018004
 Urban,285667,2763766,3049433,Dekkhinathiri,MMR018004
 Rural,238846,7589553,7828399,Dekkhinathiri,MMR018004
 Total,524513,10353319,10877832,Dekkhinathiri,MMR018004
