Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,131,2183,2314,Maungtaw,MMR012009
 Rural,138,4938,5076,Maungtaw,MMR012009
 Total,269,7121,7390,Maungtaw,MMR012009
