Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,366,4939,5305,Wakema,MMR017017
 Rural,2281,59862,62143,Wakema,MMR017017
 Total,2647,64801,67448,Wakema,MMR017017
