Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,739,7139,7878,Khayan,MMR013026
 Rural,1267,30169,31436,Khayan,MMR013026
 Total,2006,37308,39314,Khayan,MMR013026
