Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,30,2053,2083,Mineshu,MMR014017
 Rural,77,7041,7118,Mineshu,MMR014017
 Total,107,9094,9201,Mineshu,MMR014017
