Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,2414,39227,41641,Mingaladon,MMR013002
 Rural,748,23914,24662,Mingaladon,MMR013002
 Total,3162,63141,66303,Mingaladon,MMR013002
