Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,723,9983,10706,Thaton,MMR011007
 Rural,1279,36299,37578,Thaton,MMR011007
 Total,2002,46282,48284,Thaton,MMR011007
