Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,13,545,558,Minekat,MMR016002
 Rural,220,7247,7467,Minekat,MMR016002
 Total,233,7792,8025,Minekat,MMR016002
