Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,2728,5669,8397,Botahtaung,MMR013017
 Total,2728,5669,8397,Botahtaung,MMR013017
