Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,191,1132,1323,Minephyat,MMR016010
 Rural,71,4771,4842,Minephyat,MMR016010
 Total,262,5903,6165,Minephyat,MMR016010
