Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,4,280,284,Minekoke(ST),MMR016006
 Rural,41,2877,2918,Minekoke(ST),MMR016006
 Total,45,3157,3202,Minekoke(ST),MMR016006
