Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,399,5543,5942,Hmawby,MMR013003
 Rural,1178,49349,50527,Hmawby,MMR013003
 Total,1577,54892,56469,Hmawby,MMR013003
