Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,93,1647,1740,Thapaung,MMR017003
 Rural,714,34783,35497,Thapaung,MMR017003
 Total,807,36430,37237,Thapaung,MMR017003
