Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,1047,10668,11715,Thanbyuzayat,MMR011004
 Rural,944,23575,24519,Thanbyuzayat,MMR011004
 Total,1991,34243,36234,Thanbyuzayat,MMR011004
