Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,579,5098,5677,Yatsauk,MMR014008
 Rural,239,20041,20280,Yatsauk,MMR014008
 Total,818,25139,25957,Yatsauk,MMR014008
