Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,699,15931,16630,Amarapura,MMR010006
 Rural,687,32309,32996,Amarapura,MMR010006
 Total,1386,48240,49626,Amarapura,MMR010006
