Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,5,153,158,Taungpyoletwe(ST),MMR012009
 Rural,2,346,348,Taungpyoletwe(ST),MMR012009
 Total,7,499,506,Taungpyoletwe(ST),MMR012009
