Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,281,4614,4895,Ottarathiri,MMR018008
 Rural,157,13609,13766,Ottarathiri,MMR018008
 Total,438,18223,18661,Ottarathiri,MMR018008
