Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,15,974,989,Mineyan,MMR016003
 Rural,1138,7992,9130,Mineyan,MMR016003
 Total,1153,8966,10119,Mineyan,MMR016003
