Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,595,3268,3863,Taungtha,MMR010018
 Rural,1328,44661,45989,Taungtha,MMR010018
 Total,1923,47929,49852,Taungtha,MMR010018
