Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,657,4649,5306,Kyangin,MMR017012
 Rural,718,20833,21551,Kyangin,MMR017012
 Total,1375,25482,26857,Kyangin,MMR017012
