Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,684,33488,34172,Dagon Myothit(Seik),MMR013021
 Rural,98,3635,3733,Dagon Myothit(Seik),MMR013021
 Total,782,37123,37905,Dagon Myothit(Seik),MMR013021
