Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,3553,46181,49734,Mawlamyine,MMR011001
 Rural,179,7544,7723,Mawlamyine,MMR011001
 Total,3732,53725,57457,Mawlamyine,MMR011001
