Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,7268,28092,35360,Tamway,MMR013015
 Total,7268,28092,35360,Tamway,MMR013015
