Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,1,90,91,Monehta(ST),MMR016008
 Rural,5,833,838,Monehta(ST),MMR016008
 Total,6,923,929,Monehta(ST),MMR016008
