Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,4093,10544,14637,Yankin,MMR013010
 Total,4093,10544,14637,Yankin,MMR013010
