Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,22,479,501,Pyinsalu(ST),MMR017016
 Rural,701,19235,19936,Pyinsalu(ST),MMR017016
 Total,723,19714,20437,Pyinsalu(ST),MMR017016
