Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,750,8447,9197,Twantay,MMR013027
 Rural,1990,40415,42405,Twantay,MMR013027
 Total,2740,48862,51602,Twantay,MMR013027
