Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,741,6015,6756,Thongwa,MMR013025
 Rural,1513,31818,33331,Thongwa,MMR013025
 Total,2254,37833,40087,Thongwa,MMR013025
